"Timestamp","What is your name?","What is the name of your organization?","How much experience do you have?","What is your role in the organization?","Which project your considering as an example (Like E commerce or  any specific name of project)  ","Which change request you have performed in that project.","Do you create mental model?","A Mental model is necessary before the change.","Do you think Mental Model is dependent upon change request.","According to the sample project, how much time you took for creating a mental model.","Do you create a hypothesis(guess) before implementing a change request.","Do you use system GUI for understanding the system?","How much times it takes to understand the system through a GUI.","Do you think, Top down approach is used in understanding the system","Do you need to find the beacons(evidence) in top down approach.","According to the example project, How much time topdown approach took to understand the system.","Do you think system GUI helps in creating Knowledge about the system?","Do you create knowledgebase before implementing a change request.","Do you create understanding of system flow(taxonomy) through knowledge base.","Do you use experience in creating knowledgebase","Do you think existing domain knowledge helps in creating knowledgebase.","According to example project, How much time is required to create a knowledgebase of a system","Do you use keywords to locate the code for change request.","Do you perform static analysis?","How do you perform static analysis","Do you check relation and dependency in static analysis.","According to sample project, how much time taken by static analysis of the code ","Which Comprehension technique do you use mostly","Do you check all the keywords in the code that you create through system understanding."
"2019/09/03 5:35:18 PM GMT+5","HS","Dev Leadz","5","Sr. Software Engineer","Payroll management system","There is a report which change after the completion of job","Partially Implemented","Fully Implemented","","30min-1hour","Largely Implemented","Fully  Implemented","15-30 minutes","Partially implemented","Partially implemented","More than 4hr","Largely implemented","Fully implemented","Fully Implemented","Largely implemneted","Fully implemented","1hr-2hr","Partially implemented","Partially implemented","Manually","Partially implemented","15min-30min","Integrated approach(mix of above)","Fully Implemented"
"2019/09/04 1:34:51 PM GMT+5","Abdul Hannan","Lead Concept","2.5Y","SR .IOS developer","Age Face","UI changes, Adding more features ","Largely Implemented","Fully Implemented","Largely Implemented","30min-1hour","Largely Implemented","Fully  Implemented","15-30 minutes","Fully implemented","Partially implemented","30min-1hr","Largely implemented","Fully implemented","Fully Implemented","Largely implemneted","Largely implemented","30min-1hr","Largely implemented","Fully implemneted","Automatically","Largely imolemented","30min-1hr","Integrated approach(mix of above)","Largely Implemneted"
"2019/09/04 2:30:47 PM GMT+5","Asif Nadeem","Techloyce","6 years","Sr. Web Developer","swrestate","add properties ","Fully Implemented","Partially Implemented","Partially Implemented","30min-1hour","Partially Implemented","Fully  Implemented","15-30 minutes","Largely implemented","Fully implemented","1hr-2hr","Fully implemented","Largely implemented","Not Implemented","Fully implemented","Partially implemented","15min-30min","Largely implemented","Partially implemented","Manually","Largely imolemented","30min-1hr","Topdown Approach","Fully Implemented;Partially Implemneted"
"2019/09/04 3:04:57 PM GMT+5","Malik","UOL","1.5 years","Senior SE","Rental System","Role & Permission","Partially Implemented","Partially Implemented","Partially Implemented","More than 4","Largely Implemented","Fully  Implemented","30min-1 hour","Partially implemented","Not implemented","2hr-4hr","Largely implemented","Partially implemented","Largely implemented","Fully implemented","Largely implemented","2hr-4hr","Partially implemented","Partially implemented","Both","Largely imolemented","1hr-2hr","Integrated approach(mix of above)","Not Implemented"
"2019/09/05 9:39:23 PM GMT+5","Hammad Hassan ","Xavor Corporation ","6 years","Sr. SQA Engineer ","Banking Application","Format of First Name & Last Name while displaying. ","Fully Implemented","Fully Implemented","Partially Implemented","15-30 min","Largely Implemented","Fully  Implemented","30min-1 hour","Largely implemented","Not implemented","15min-30min","Largely implemented","Fully implemented","Fully Implemented","Largely implemneted","Fully implemented","30min-1hr","Largely implemented","Partially implemented","Both","Largely imolemented","15min-30min","Integrated approach(mix of above)","Largely Implemneted"
"2019/09/05 9:57:00 PM GMT+5","Abubakar","MOHRE","5","Software Engineer","Redealmaker","IVR implementation","Not Implemented","Not Implemented","Not Implemented","2hr-4hr","Partially Implemented","Partially Implemented","30min-1 hour","Partially implemented","Partially implemented","30min-1hr","Fully implemented","Partially implemented","Largely implemented","Partially implemented","Largely implemented","1hr-2hr","Partially implemented","Partially implemented","Manually","Partially implemented","1hr-2hr","Integrated approach(mix of above)","Largely Implemneted"
"2019/09/05 10:28:23 PM GMT+5","Ehsan ali","Giant precision","3.5","Software Developer","Point of sale","Fb integration","Partially Implemented","Largely Implemented","Fully Implemented","30min-1hour","Partially Implemented","Fully  Implemented","1-2 hr","Fully implemented","Partially implemented","1hr-2hr","Largely implemented","Fully implemented","Largely implemented","Partially implemented","Largely implemented","15min-30min","Largely implemented","Largely Implemneted","Both","Fully Implemented","1hr-2hr","Topdown Approach","Fully Implemented"
"2019/09/05 10:31:37 PM GMT+5","Faizan Shafiq","Sigmatec ","2 years ","Associate Developer","Banking application ","Scheduling meetings ","Fully Implemented","Partially Implemented","Fully Implemented","15-30 min","Partially Implemented","Largely Implemented","30min-1 hour","Fully implemented","Fully implemented","30min-1hr","Fully implemented","Fully implemented","Largely implemented","Partially implemented","Fully implemented","2hr-4hr","Largely implemented","Partially implemented","Manually","Largely imolemented","30min-1hr","Topdown Approach","Largely Implemneted"
"2019/09/05 10:37:42 PM GMT+5","Ali Raza Amjad ","Sigmatec Pvt Ltd ","5 years ","Software development ","IQProspects ","IQProspects ","Largely Implemented","Partially Implemented","Largely Implemented","30min-1hour","Largely Implemented","Largely Implemented","1-2 hr","Largely implemented","Partially implemented","1hr-2hr","Largely implemented","Largely implemented","Largely implemented","Largely implemneted","Largely implemented","1hr-2hr","Largely implemented","Partially implemented","Both","Partially implemented","1hr-2hr","Topdown Approach","Partially Implemneted"
"2019/09/05 11:18:32 PM GMT+5","Shahid Hussain","ITECHNISYS PVT Limited ","4 year ","Software Engineer ","3D Graphics","Change the functionality of zooming in","Fully Implemented","Largely Implemented","Fully Implemented","15-30 min","Largely Implemented","Fully  Implemented","30min-1 hour","Fully implemented","Partially implemented","30min-1hr","Fully implemented","Fully implemented","Largely implemented","Largely implemneted","Fully implemented","1hr-2hr","Fully implemented","Fully implemneted","Manually","Largely imolemented","2hr-4hr","Bottomup Approach","Fully Implemented"